"User","Username","Date Created","Likes","Tweet"
"Chudai Jav MovieS x Bokep Movies cesar","9Cyruz","2025-06-29 10:43:08+00:00","0","“Climate change is a race we can’t afford to lose.” — UN #RaceForLife
“The climate crisis is a leadership crisis.” — Greta Thunberg #LeadOrStepAside"
"Coolman","Coolfin6","2025-06-29 10:11:57+00:00","0","What madness is this.
Ireland has peat, &amp; millions of tonnes of it.

But in a country run by EU Commission puppets,  it imports peat by ship from Estonia. 

Go on @john_mcguirk
@griptmedia   How can this be justified.  

There is no climate crisis.
That fraud has been proven."
"Silent Alice","SilentAlice202","2025-06-29 09:30:19+00:00","0","From a fb post, so greenhouse gases that the ocean gets makes the water more acidic. Which in turn harms coral and animals that need the mineral aragonite, which is hard to form if it gets too acidic. Man, this world is going to get ruined so bad."
"Ankit Sahu","ankitsahu125","2025-06-29 09:06:59+00:00","1","We've built our identity on Adam Smith’s “invisible hand”—that self-interest drives social good.
But if the climate crisis proves this false, it doesn't just threaten the planet—it unravels how we understand ourselves.

#ClimateCrisis   #systemsthinking #thegreatdereangement"
"Moh Koromah","mohammedakoroma","2025-06-29 09:04:08+00:00","0","The climate crisis is escalating—and the world’s biggest polluters still aren’t paying their fair share.
@NorwayMFA @EmbZambia @MexicoUN @NepalUN, as #FfD4 co-chairs, will you lead the call for bold solidarity levies to fund a just, sustainable future? #ClimateJustice #TaxThePolu"
"Emir S.","Saser29552125","2025-06-29 08:24:26+00:00","2","🔥 From California to Cairo, the planet’s boiling. June 2025 is set to become the hottest month ever recorded. Climate crisis isn’t looming—it’s here.

#Heatwave2025 #ClimateCrisis #GlobalWarming #ExtremeWeather #SaveThePlanet #BreakingNews #WorldAlert"
"HENRY MORRIS","mrhenrymorris","2025-06-29 08:19:53+00:00","101","Enjoying @bbc5live presenters babbling about the insane heatwave in the south of Europe - 46 degrees in the south of Spain - without mention of the climate crisis.

Like covering the Wimbledon experience without mentioning the tennis."
"Sean Brady","FormbyVillage","2025-06-29 08:01:10+00:00","0","‘This is a fight for life’: climate expert on tipping points, doomerism and using wealth as a shield

The climate crisis is pushing globally important ecosystems – ice sheets, coral reefs, ocean circulation and the Amazon rainforest – towards the point of no return."
"Doğan Özkan","Dogan74586Dogan","2025-06-29 07:44:32+00:00","0","The climate crisis is accelerating, but the biggest polluters still don’t pay enough. As FfD4 co-chairs, @NorwayMFA @EmbZambia @MexicoUN @NepalUN, will you champion solidarity levies to secure fair, sustainable finance? #ClimateJustice"
"The Better India","thebetterindia","2025-06-29 07:00:01+00:00","0","Despite India’s hinterland experiencing some semblance of a climate crisis, many lack the vocabulary to articulate it. But bridging this ecological literacy chasm are youth like Soumya, who are venturing into the fringes of Odisha armed with cameras and ideas. #ClimateChange"
"Moh Koromah","mohammedakoroma","2025-06-29 04:07:02+00:00","0","ANP’s oil auctions threaten Indigenous communities, quilombola territories, and irreplaceable biodiversity — violating rights and fueling the climate crisis. We call on @LulaOficial and @ANPgovbr: cancel exploration blocks in protected areas! #SeaWithoutOil #NoOilInTheAmazon"
"Moh Koromah","mohammedakoroma","2025-06-29 03:59:54+00:00","0","282 million people faced acute hunger last year. The climate crisis is deepening inequality—bold financing solutions are needed. As #FfD4 co-chairs, @NorwayMFA @EmbZambia @MexicoUN @NepalUN, will you lead on solidarity levies? #TaxPolluters"
"Richard","iluminatibot119","2025-06-28 21:36:37+00:00","0","We do not have a climate crisis.

We have a corruption crisis. A tyranny crisis. And an orchestrated economy crisis."
"theUKtoday","KtodayU83406","2025-06-28 18:47:36+00:00","1","Isn't it atrange when there's a heat wave the MSM jumps on global warming, climate crisis and all that bullshit but when ten times more people die from the cold what do they say? Nothing, in fact they are so quiet you could hear a pin drop"
"rana","favoriarzubuse","2025-06-28 18:21:40+00:00","0","“Climate change is a race we can’t afford to lose.” — UN #RaceForLife
“The climate crisis is a leadership crisis.” — Greta Thunberg #LeadOrStepAside"
"redpillbot","redpillb0t","2025-06-28 17:45:01+00:00","241","We do not have a climate crisis.

We have a corruption crisis. A tyranny crisis. And an orchestrated economy crisis."
"walter juarez","Wal128","2025-06-28 17:29:28+00:00","1","“Climate change is a race we can’t afford to lose.” — UN #RaceForLife
“The climate crisis is a leadership crisis.” — Greta Thunberg #LeadOrStepAside"
"スウ","su7d1tk","2025-06-28 17:00:04+00:00","0","Greenhouse gases and Water cycle"
"Sophie","Sophi3sol","2025-06-28 16:26:55+00:00","2","all this money chasing will mean nothing when the world collapses due to the climate crisis btw

you MIGHT be lucky enough to stave off a few tears by moving to Antarctica if you get rich enough"
"Climate Survival Solutions","ClimateSoluti0n","2025-06-28 16:04:59+00:00","2","While G7 Ignores Climate, BRICS Steps Up
Mention of the climate crisis was excluded from recent G7 statements under pressure from Trumpco. BRICS has finally approved the bloc’s first recommendation on climate finance and is expected to lead in Brazil at COP30."
"KATE SARSFIELD","k8sarsfield","2025-06-28 15:55:33+00:00","2","Did you know Allianz - @glastonbury insurer - is complicit in climate crisis, the genocide in Gaza, and border violence? We know this doesn’t align with your values - switch insurers now! #Glastonbury #BoycottBloodyInsurance #BDS #NoOneIsIllegal #FossilFree"
