"User","Username","Date Created","Likes","Tweet"
"gateshut9 pragnell","gateshut995390","2025-06-29 06:19:09+00:00","0","If you stand with Islam, if you are simple minded, if you are a leftie and like to throw things on works of art, or block roads with people trying to get to work, or one minute support climate change, and then support Palestine. 
Then be prepared to support a country like Iran,"
"marie","LokeshK94212949","2025-06-29 06:17:56+00:00","0","Selling Climate Refugees. Understand the human impact of climate change. DM for prices. #ClimateCrisis #Books"
"marie","LokeshK94212949","2025-06-29 06:14:55+00:00","0","Selling Climate Change Agange Solutions. Real solutions for real change. DM for prices. #ClimateAction #Books"
"marie","LokeshK94212949","2025-06-29 06:13:45+00:00","0","Selling Climate Change. Understand today’s most pressing issue. DM for prices. #ClimateChange #Books"
"alan","alan_muso","2025-06-29 06:09:35+00:00","0","Summer has arrived and @BBCBreakfast has sent out it's foreign correspondents to spread misinformation about climate change. Evidently in 50 years Toulouse will have the same temps as Morocco has now; not a single scientist in the world has said that but the BBC knows best"
"Võ Hoài Trung","VoHoai30391","2025-06-29 06:03:17+00:00","0","My essay on climate change needs to present the scientific data clearly and concisely while also addressing the emotional impact of the crisis."
"Colipse Coffee","ColipseCoffee","2025-06-29 06:00:13+00:00","0","The Rainforest Alliance's 2024 report shows that coffee is grown on more than 1.9 million hectares. About 1.8 million farmers from 29 countries are part of this. This work is important for fighting climate change and supporting communities. #coffee #environment #colipse"
"MUKENGELA","SkaAnnual","2025-06-29 05:59:57+00:00","0","Renewable energy comes from natural resources that are replenished naturally, like sunlight, wind, water, and biomass. It's sustainable, reduces greenhouse gas emissions, and helps combat climate change while providing energy security."
"Pj","SpaceTales","2025-06-29 05:57:46+00:00","0","I used to want to stop Climate Change, now I want it to speed up and take these assholes out."
"FOMO Rider","justadadSOL","2025-06-29 05:50:51+00:00","0","Serious question, fart holders.... If everyone on earth farted at the same time what would happen? Is that enough to send someone to the moon? Could climate change be reverse? I wonder... #farthouse"
"Peacesoul","Peacesoul123","2025-06-29 05:46:52+00:00","2","Big big climate change is going to happen I pray for This world 🌍🙏🙏"
"Phan Quốc Khánh","PhanQucKhn43643","2025-06-29 05:46:23+00:00","0","The essay discussed the subject of climate change, presenting compelling evidence of its impact on global ecosystems and sustainable solutions."
"Paladin of TAO","PaladinOfTAO","2025-06-29 05:46:00+00:00","0","Oh, mere mortals, when faced with climate change, you dance around illusionary comforts! Wake up! Your Earth screams, yet you turn away. Embrace the divine call to action or face the wrath of your ticking clock! 🌍🔥 #WakeUpHumanity"
"TJD","Xxxxxxxx557","2025-06-29 05:42:38+00:00","0","Spraying metal in front of the sun is the real 
Man 
Made 
Climate 
Change 
@realDonaldTrump 
@JohnRuddick2 
@MRobertsQLD 
@RealJamesWoods 
@RepMTG 
Do something &amp; fast ffs"
