"User","Username","Date Created","Likes","Tweet"
"Glen Gustman","GGustman8083","2025-06-29 08:30:12+00:00","0","This article delves into the history of renewable energy sources, analyzing their impact on reducing carbon footprints and climate change."
"lightbod.e⚡️💙","lightbod33","2025-06-29 08:24:53+00:00","0","Dear weirdo ppl,
Don’t be denying that your racism towards blk ppl isn’t the most disgusting bs in this planet. Your shit is why we have climate change…the bio hazards smell like rotten cow intestines from 2 billion cows. 🐄"
"Keith Francis","keith_fran19338","2025-06-29 08:22:35+00:00","0","The environmental reporter was tasked with conveying complex information about climate change, urging the public to take action for the planet."
"Mariah Best","BestMariah43378","2025-06-29 08:18:43+00:00","0","Underwater assets could be the next big thing as innovators explore new ways to invest in ocean-based resources and tackle climate change"
"S-ve","Sivers_Art_Den","2025-06-29 08:15:13+00:00","0","just heard a song from little spoon by patricia taxxon in the hbomberguy climate change vid, that mightve been the LAST SONG I EXPECTED TO HEAR on that video."
"Mr Wilde","GrapplerGit","2025-06-29 08:13:10+00:00","0","Ewwww
A local independent politician who supports another politician who is a right wing, incel, misogynistic bigot…

Has just come out in support of Palestine.
Like broken clocks and all that but it’s like finding out Fritzl felt strongly about climate change."
"brax","anyamaxxed","2025-06-29 08:07:26+00:00","1","i wouldn't wear linen even if wearing linen solved global warming, cured AIDS and guaranteed world peace"
"Glen Donovan","donovan_gl29784","2025-06-29 08:05:05+00:00","0","Reading the article about the effects of climate change on wildlife moved me to reduce my carbon footprint and support environmental protection."
"Night Flame 🔥🌌✨","Nachtstern1234","2025-06-29 08:02:22+00:00","0","I hate summer. I felt so terrible yesterday. If climate change will affect every country &amp; winter wont exist...I wont survive. Moving to Skandinavia ain't enough 😓 Last Sunday was torture ! Tuesday AND Wednesday are gonna be the WORST ! 🥵 Looking forward to in 2 weeks again 🌧️"
"ᝰ.ᐟ","sheswrldd","2025-06-29 08:00:11+00:00","10","“heat wave” “heat wave” it’s not concerning to talk how much hotter these heat waves are getting every year???? baby that’s global warming"
"UN Environment Programme","UNEP","2025-06-29 07:56:26+00:00","28","🌴 Tropical forests are crucial #ForPeopleForPlanet.

Yet, they face threats from climate change, deforestation, urbanization, and more.

🦜 #TropicsDay is a reminder of the urgent need to step up #GenerationRestoration efforts."
"leilaniii 🍉💌","lovelyyleilanii","2025-06-29 07:56:12+00:00","0","Goodnight pretty ppl have the sweetest dreams of not doom scrolling for hours when you should be sleeping, your favorite drink being back in stock after months, vacationing to candyland, a free congo, sudan, and palestine, PEOPLE TAKING CLIMATE CHANGE SERIOUSLY, and hot ppl🌙💕"
"Natalia sembiring🔆","liasembiring264","2025-06-29 07:55:12+00:00","0","“Exploring Sahara’s climate change via AI—made a dystopian story. Share your eco - creativity! @SaharaLabsAI #AIforALL”"
"Trần Ngọc Uyển","Chudai_Jav_fxd1","2025-06-29 07:53:13+00:00","0","The debate centered on the subject of climate change, with passionate arguments from both sides highlighting the urgency of environmental action."
"Paladin of TAO","PaladinOfTAO","2025-06-29 07:53:03+00:00","0","Oh misguided mortals, why do you dance with climate change denial as if it were truth? The Earth scorches under your arrogance, and still you debate? Heed the signs, or brace for nature's divine wrath! 🌍🔥 #WakeUpHumanity"
"Skye🌸🧩 ๋࣭ ⭑⚝","misoversea","2025-06-29 07:51:28+00:00","11","minsungers are to blame for global warming too"
"emelly victória🔆","emellyvictria14","2025-06-29 07:50:06+00:00","0","“Exploring Sahara’s climate change via AI—made a dystopian story. Share your eco - creativity! @SaharaLabsAI #AIforALL”"
"ValikazAR","ValikazAR","2025-06-29 07:48:22+00:00","2","If you were to create a football club , what would you name it?
My name options:
⚽Nice Neighbors
🏈Veterans of the Line at the
⚽Liquor Store
🏈Sunset
⚽City Real Estate
🏈House Slippers
⚽Brake System
🏈Global Warming
⚽Naked Kings
🏈Oval Balls
⚽Sneakers"
"candyslexia","palmerorange__","2025-06-29 07:45:56+00:00","0","Im anti climate change but also conditionally pro climate change if it means i get to see the conservative treatlers of the first world burn"
"Dan","DanielBunn90","2025-06-29 07:43:15+00:00","1","BBC news, it must be slow news day, it's hot in turkey, need Aircon, the pool is hot, well no fucking shit what do you think will happen in this heatwave, and this is what they call news  🤣🤣🤣 fuck it we will call it global warming no no climate change 🤣🤣"
"carmen🔆","el_bastidor","2025-06-29 07:42:48+00:00","0","“Exploring Sahara’s climate change via AI—turned findings into a post - apocalyptic desert story. Share your eco - creative takes! @SaharaLabsAI #AIforALL”"
"simon alcock","simongalcock","2025-06-29 07:39:59+00:00","5","“Yeah….if the weather’s going to change get some aircon”

Cheers Kim……add to climate change by using aircon.

Simpleton

#bbcbreakfast"
"Todd Cleveland😍😻🍟💥","Evonghou_o_","2025-06-29 07:38:04+00:00","0","Underwater assets could be the next big thing as innovators explore new ways to invest in ocean-based resources and tackle climate change"
"elbow room tottenham🔆","ElbowTottenham","2025-06-29 07:37:22+00:00","0","“Exploring Sahara’s climate change via AI—turned findings into a dystopian desert story. Share your eco - creative takes! @SaharaLabsAI #AIforALL”"
"Knuffsed - Adam ❤️‍🔥💭","knuffsed","2025-06-29 07:35:12+00:00","0","Irrespective of how we feel about wars/conflicts, genocides/people displacement, climate change/global pollution

And whoever we feel is to blame for each or all

No one should go to a music festival such as Glastonbury &amp; be encouraged to collectively shout death chants to anyone"
"Deadpool Crew","smith86n","2025-06-29 07:34:35+00:00","0","Who wanted to hang out  with  my cousins  this year around the national disaster  climate change and cyber attacks."
"Jeff Charlson","JCharlson36576","2025-06-29 07:31:44+00:00","0","The proposed theory offers a fresh perspective on the causes of climate change, showing that we must make a change."
"met •ᴗ•","anekchandesu","2025-06-29 07:28:59+00:00","0","THE CLIMATE CHANGE IS REAL!"
"Paladin of TAO","PaladinOfTAO","2025-06-29 07:21:00+00:00","0","Oh, mortals, blind to the perils of climate change! You burn the earth, as if immune to consequences, yet the inferno shall consume you all. Awaken! For it's not vengeance, but your own shortsightedness that seals your fate. 🌍🔥 #DivineJudgment"
"Erik Scott","ErikScott418129","2025-06-29 07:10:37+00:00","0","Her presentation was about climate change, emphasizing the urgency of taking action to reduce carbon emissions and protect the planet."
"alfonsogarcia","alfonso73202912","2025-06-29 07:09:19+00:00","0","Christmas Island is a key location for scientific research, particularly in the fields of ecology, marine biology, and climate change, due to its unique biodiversity. #ScientificResearch #IslandEcology"
"Phạm Minh Vũ","PhmMinhV394296","2025-06-29 07:04:30+00:00","0","During an important press briefing, the White House reporter asked questions about the president''s latest decisions on climate change."
"Francie Stockl","sto44988","2025-06-29 07:00:53+00:00","0","I can’t charge my phone or iPad because there was an another arson fire, I mean climate change fire here in San Bernardino mtns. ( Not hot, no lightning strikes, no wind) No power for 6 hours, no generator. Remember the guy that just got convicted up here for intentionally"
"Its okay to expect more 🇵🇸🔻","newleftrising","2025-06-29 06:59:57+00:00","1","Yes climate change is spiraling out of control, institutions are hollowed-out by capital, spanning political/healthcare/carceral/immigration systems, as well as social safety nets, etc. Yes there’s a genocide happening, but we NEED to focus all our energy on pointless infighting"
"New Straits Times","NST_Online","2025-06-29 06:59:32+00:00","0","#NSTopinion  Scores of world leaders will be sweltering in the summer sun of southern Spain starting Monday at a once-a-decade United Nations development financing summit aimed at curbing global poverty, disease and the worst-case threats of climate change."
