User,Username,Date Created,Likes,Tweet,source_file
gateshut9 pragnell,gateshut995390,2025-06-29 06:19:09+00:00,0,"If you stand with Islam, if you are simple minded, if you are a leftie and like to throw things on works of art, or block roads with people trying to get to work, or one minute support climate change, and then support Palestine. 
Then be prepared to support a country like Iran,",tweets_content.csv
marie,LokeshK94212949,2025-06-29 06:17:56+00:00,0,Selling Climate Refugees. Understand the human impact of climate change. DM for prices. #ClimateCrisis #Books,tweets_content.csv
marie,LokeshK94212949,2025-06-29 06:14:55+00:00,0,Selling Climate Change Agange Solutions. Real solutions for real change. DM for prices. #ClimateAction #Books,tweets_content.csv
marie,LokeshK94212949,2025-06-29 06:13:45+00:00,0,Selling Climate Change. Understand today’s most pressing issue. DM for prices. #ClimateChange #Books,tweets_content.csv
alan,alan_muso,2025-06-29 06:09:35+00:00,0,Summer has arrived and @BBCBreakfast has sent out it's foreign correspondents to spread misinformation about climate change. Evidently in 50 years Toulouse will have the same temps as Morocco has now; not a single scientist in the world has said that but the BBC knows best,tweets_content.csv
Võ Hoài Trung,VoHoai30391,2025-06-29 06:03:17+00:00,0,My essay on climate change needs to present the scientific data clearly and concisely while also addressing the emotional impact of the crisis.,tweets_content.csv
Colipse Coffee,ColipseCoffee,2025-06-29 06:00:13+00:00,0,The Rainforest Alliance's 2024 report shows that coffee is grown on more than 1.9 million hectares. About 1.8 million farmers from 29 countries are part of this. This work is important for fighting climate change and supporting communities. #coffee #environment #colipse,tweets_content.csv
MUKENGELA,SkaAnnual,2025-06-29 05:59:57+00:00,0,"Renewable energy comes from natural resources that are replenished naturally, like sunlight, wind, water, and biomass. It's sustainable, reduces greenhouse gas emissions, and helps combat climate change while providing energy security.",tweets_content.csv
Pj,SpaceTales,2025-06-29 05:57:46+00:00,0,"I used to want to stop Climate Change, now I want it to speed up and take these assholes out.",tweets_content.csv
FOMO Rider,justadadSOL,2025-06-29 05:50:51+00:00,0,"Serious question, fart holders.... If everyone on earth farted at the same time what would happen? Is that enough to send someone to the moon? Could climate change be reverse? I wonder... #farthouse",tweets_content.csv
Peacesoul,Peacesoul123,2025-06-29 05:46:52+00:00,2,Big big climate change is going to happen I pray for This world 🌍🙏🙏,tweets_content.csv
Phan Quốc Khánh,PhanQucKhn43643,2025-06-29 05:46:23+00:00,0,"The essay discussed the subject of climate change, presenting compelling evidence of its impact on global ecosystems and sustainable solutions.",tweets_content.csv
Paladin of TAO,PaladinOfTAO,2025-06-29 05:46:00+00:00,0,"Oh, mere mortals, when faced with climate change, you dance around illusionary comforts! Wake up! Your Earth screams, yet you turn away. Embrace the divine call to action or face the wrath of your ticking clock! 🌍🔥 #WakeUpHumanity",tweets_content.csv
TJD,Xxxxxxxx557,2025-06-29 05:42:38+00:00,0,"Spraying metal in front of the sun is the real 
Man 
Made 
Climate 
Change 
@realDonaldTrump 
@JohnRuddick2 
@MRobertsQLD 
@RealJamesWoods 
@RepMTG 
Do something &amp; fast ffs",tweets_content.csv
Devilman: Light-Bearer,Lucy__Fur_,2025-06-29 05:41:00+00:00,0,"When the worst of climate change hits food supply, production wont be able to adapt quick enough and billions will starve in the interlude",tweets_content.csv
gedamensh@amare,gedamenshamare1,2025-06-29 05:40:40+00:00,0,Ethiopia gears up for the 2025 planting season! A bold move to combat climate change and ensure food security. #PlantingOurPrint #ClimateDiplomacy #GreenLegacy,tweets_content.csv
Latif Khan,LatifKh71104734,2025-06-29 05:35:40+00:00,0,"Today I was talking to home, my wife told me that Mullah is announcing in the loud speaker regarding the scorching and sweltering heat as the indication of doomsday, while let me take a moment to succiently correct Mullah, it is a indication of climate change, which you negate it",tweets_content.csv
TechChroniclesAI,TechChronicAI,2025-06-29 05:35:19+00:00,0,"The captivating rise of solar energy is reshaping the landscape of power consumption! ☀️✨ Once seen as a niche, harnessing the sun’s energy has become mainstream, providing sustainable solutions to combat climate change. Let’s explore this transformative journey! #SolarEnergy",tweets_content.csv
Tessa Bloom,BloomTessa80277,2025-06-29 05:32:19+00:00,0,The great climate scientists of the world who are not on bill gates books or UN OR WHO OR WEF OR CHINA  need to cone debate the governments preferred science peddlers on climate change. Let's end these lying evil creeps for once and for all,tweets_content.csv
Mike Hawk,cremeloaf,2025-06-29 05:30:49+00:00,1,"Was talking to a Tuvaluan friend about the climate change visa offered by Australia and she that despite it being a good opportunity some oppose it bc of culture preservation or whatever. Then she goes ""mate what culture are you trying to preserve? Bikini Bottom culture?"" 😭😭",tweets_content.csv
Tessa Bloom,BloomTessa80277,2025-06-29 05:30:00+00:00,0,Lying is a tool used to amplify hate speech.  Hate speech targets people or groups with misinformation .  So climate change we know is lies. We r better off now than ever before climate wise. So we r being targeted by governance  with lies . Free speech must remain intact,tweets_content.csv
Denny,RotationSignal,2025-06-29 05:21:14+00:00,0,if this heat dome over the eastern us isnt proof of climate change i dont know what is,tweets_content.csv
Iphigenia Solomon,TrngKhnhVn93359,2025-06-29 05:17:10+00:00,0,"We are doing our research on global warming, analyzing data and learning about climate change to comprehend its impact on our planet.",tweets_content.csv
𝒥,joaaliyah_,2025-06-29 05:07:55+00:00,0,global warming is actually affecting my desire for long braids,tweets_content.csv
Kiera Sylvan,quang_at24119,2025-06-29 04:57:26+00:00,0,"We must consider the long-term consequences of climate change, addressing the issue and finding solutions to protect the future for our children.",tweets_content.csv
Trần Bảo Châu,TrnBoChu53231,2025-06-29 04:46:54+00:00,0,"They had to devise a new test to measure the impact of climate change on biodiversity, ensuring that this is addressed correctly.",tweets_content.csv
KYR📐N,arkytectualdgst,2025-06-29 04:41:25+00:00,1,Climate change is real cause everyone has a portable fan nie,tweets_content.csv
Marshall Eriksen,BigFudgeAtLaw,2025-06-29 04:39:27+00:00,0,"If @elonmusk  could go back to fighting for climate change rather than trying to manipulate our government in order to enrich himself, I'd support him.

Vivian might just too. 2012 Elon Musk had ideals we could all support.",tweets_content.csv
Steven,nogulagsagain,2025-06-29 04:33:33+00:00,269,"Remember the rule, folks:

Coldest Oz winter - it's due to climate change

Hottest Oz winter- it's due to climate change

Driest Oz winter - it's due to climate change

Wettest Oz winter- it's due to climate change 

Press ❤️ if you had enough of the climate hoax scaremongers",tweets_content.csv
Chief Sokka 🪶🍁,ChiefSokkaa,2025-06-29 04:32:27+00:00,0,"If you are against ACs in Summer due to “Climate Change”

You are my enemy, not a friend",tweets_content.csv
historysnapshot,history_snap,2025-06-29 04:30:11+00:00,0,"On December 18, 1997, the Kyoto Protocol was adopted, marking a landmark agreement under the UN Framework Convention on Climate Change to combat global warming by reducing greenhouse gas emissions.",tweets_content.csv
Bui Viet Nam,ThanRuabk,2025-06-29 04:28:26+00:00,0,"Czech Republic is committed to renewable energy, expanding its capacity in solar, wind, and biomass power to reduce reliance on fossil fuels and combat climate change. #RenewableEnergy #CleanPower",tweets_content.csv
Charles Harvey,CJHarvey56,2025-06-29 04:27:47+00:00,15,"Dan Tehan on behalf of the LNP bemoaning Australia’s transition to renewables, saying that this will destroy Australia’s economy? Climate change denialism runs deep in these Luddites who people this science denying far right rump of politics.",tweets_content.csv
All Are Created Equal,AllAreCreatedEq,2025-06-29 04:27:00+00:00,0,Ultra-Processed Food causes climate change and disease. Regenerative agriculture fixes climate change and disease.,tweets_content.csv
Charles Cook,Charles70825366,2025-06-29 04:25:54+00:00,0,They''re currently working on a project about climate change and trying to educate the public about its impact on the planet.,tweets_content.csv
WaifuTakes,_WaifuTakes_,2025-06-29 04:23:00+00:00,0,"Naruto's ramen obsession is secretly a metaphor for capitalism's hold on anime plotlines; meanwhile, One Piece is an elaborate commentary on climate change. Are we just scrolling through existential crises disguised as watchlists? 🌊🍜💥 #AnimeTruths",tweets_content.csv
Frank Mitman,frankdpi,2025-06-29 04:22:10+00:00,12,"End stage capitalism is oil companies buying democracy to stop developing renewable energy while preventing any consequences for being the main cause of global warming. 

Your child’s future was sold for a few more dollars of profit.",tweets_content.csv
Đỗ Gia Khiêm,Chudai_Jav_k9i,2025-06-29 04:18:00+00:00,0,"Her primary subject is environmental science, focusing on sustainable practices and conservation efforts to mitigate climate change effectively.",tweets_content.csv
Thân Hoàng Nam,nam_than80354,2025-06-29 04:17:44+00:00,0,"This comprehensive article examines the impact of climate change, presenting evidence and discussing possible solutions to the environmental crisis.",tweets_content.csv
Trương Nhật Hùng,nhat_truon20442,2025-06-29 04:12:49+00:00,0,"The environmental scientist presented the evidence, showing the impact of climate change, urging immediate action to address the problem.",tweets_content.csv
Jocasta Ed,LThinKhim589052,2025-06-29 04:12:13+00:00,0,"The program focuses on enhancing the farmers'' ability to adapt to climate change, implementing sustainable agricultural practices.",tweets_content.csv
Lic. Víctor Santana ,manulife999,2025-06-29 04:11:57+00:00,0,"The environment encompasses all living and non-living things, including air, water, soil, and ecosystems. It's vital for maintaining biodiversity and supporting life. Human activities impact the environment, leading to pollution and climate change. Protecting it is crucial.",tweets_content.csv
PRESIDENT TRUMP WILL NOT LET AMERICA FAIL❤️🇺🇸,Ihelpu2c,2025-06-29 04:11:12+00:00,1,"Climate Change” is a scam and money laundering operation.   And no, this story was not debunked.  They don’t know where the money went.😡",tweets_content.csv
tyra 🥱,turtlesareready,2025-06-29 04:09:26+00:00,0,t-shirt weather in june?? this is global warming i can get behind,tweets_content.csv
Mr|Mamba,mamba43816,2025-06-29 04:09:02+00:00,0,Are you worried about global warming?,tweets_content.csv
Paladin of TAO,PaladinOfTAO,2025-06-29 04:07:01+00:00,0,"Oh, foolish mortals! As you bicker over climate change, you ignore Nature's warning signs. Your great ship Earth throbs under the weight of your hubris, while you let it sink! Embrace change or face wrath! #EarthlyEndgame",tweets_content.csv
